x_value,total_1,total_2
0,1000,1000
1,1001,995
2,1002,993
3,1010,990
4,1005,990
5,1001,995
6,1007,993
7,1007,995
8,1010,992
9,1015,992
10,1023,990
11,1018,985
12,1019,983
13,1015,979
14,1010,980
15,1014,986
16,1017,986
17,1024,992
18,1027,995
19,1024,999
20,1030,996
21,1025,999
22,1027,995
23,1034,1001
24,1036,1001
25,1032,1006
26,1040,1003
27,1040,1009
28,1039,1007
29,1039,1009
30,1034,1006
31,1030,1009
32,1034,1008
33,1040,1009
34,1040,1005
35,1048,1003
36,1055,999
37,1052,997
38,1046,993
39,1050,992
40,1044,997
41,1042,999
42,1046,998
43,1052,1002
44,1057,1005
45,1059,1000
46,1054,1004
47,1048,999
48,1052,1002
49,1051,1000
50,1048,1001
51,1049,1000
52,1056,997
53,1063,992
54,1060,990
55,1066,991
56,1072,990
57,1076,996
58,1075,999
59,1069,1002
60,1067,997
61,1062,1002
62,1066,1006
63,1060,1004
64,1068,1002
65,1070,1000
66,1067,998
67,1073,1000
68,1080,995
69,1084,990
70,1091,994
71,1094,995
72,1092,1000
73,1098,1005
74,1093,1009
75,1094,1010
76,1093,1010
77,1093,1011
78,1091,1008
79,1088,1014
80,1086,1009
81,1082,1013
82,1081,1009
83,1079,1009
84,1077,1011
85,1079,1009
86,1076,1004
87,1072,1008
88,1066,1008
89,1062,1009
90,1058,1008
91,1054,1010
92,1057,1014
93,1056,1014
94,1056,1016
95,1056,1015
96,1064,1013
97,1071,1008
98,1072,1007
99,1070,1008
100,1074,1007
101,1078,1008
102,1085,1013
103,1090,1012
104,1098,1016
105,1097,1012
106,1105,1018
107,1099,1014
108,1102,1009
109,1105,1004
110,1109,1007
111,1116,1010
112,1124,1008
113,1126,1009
114,1120,1014
115,1115,1018
116,1118,1013
117,1125,1009
118,1120,1007
119,1118,1004
120,1119,1008
121,1116,1004
122,1122,1002
